,fors2name,zobs,Nc,Ns,Nm,funcmin_c,funcmin_m,funcmin_s,MAH_lgmO,MAH_logtc,MAH_early_index,MAH_late_index,MS_lgmcrit,MS_lgy_at_mcrit,MS_indx_lo,MS_indx_hi,MS_tau_dep,Q_lg_qt,Q_qlglgdt,Q_lg_drop,Q_lg_rejuv,AV,UV_BUMP,PLAW_SLOPE,SCALEF
0,SPEC2,0.34555,1342,1334,8,488028.72404904047,612.5431726948749,975444.9049253861,14.0,0.04,1.0,0.5351959498216814,11.75,-0.7686064492144834,0.75,-1.2033715120578523,2.25,1.1,-0.60725,-0.91773,-0.212307,5.410176587941019e-10,1.0,0.0,1.0
1,SPEC3,0.6866,1360,1351,9,2593808.7778005204,1000.6693975667395,5186616.886203474,14.0,0.060000000000000005,4.0,1.5,12.25,-0.75,1.25,-0.75,1.75,1.1,-0.60725,-0.91773,-0.212307,0.3837324074483526,1.0,-0.35,1.0
2,SPEC9,0.29266,1365,1357,8,629375.6752192575,199.12694104926288,1258552.2234974657,13.99889501210268,0.05386631614907192,3.9909660993025544,0.5039142124581003,11.755651656056841,-0.9404889142868159,0.7527027646679783,-1.242719266617965,2.25,1.1,-0.60725,-0.91773,-0.11230699999999999,0.0,1.0,0.0,1.0
3,SPEC13,0.6887,1035,1028,7,8780.435294001378,227.39578026961684,17333.47480773314,13.468503872600197,0.04687625728505014,3.9995661611121447,1.271783829313837,11.921675104852273,-0.8782352314799209,0.776665393639897,-0.7721789830207758,2.245986559070852,1.1,-0.60725,-0.91773,-0.212307,0.0,1.0,0.0,1.0
4,SPEC19,0.48395,1323,1314,9,390949.3734815954,144.6469610474681,781754.1000021434,12.558069944519028,0.040000047532579935,1.908058115525312,1.5,12.25,-0.75,0.75,-0.75,2.0663583640863163,1.1,-0.60725,-0.91773,-0.212307,0.7705572040781893,3.0,0.0,1.0
5,SPEC24,0.46612,1138,1129,9,27188.861901187713,118.89192776675225,54258.83187460867,13.935921411166003,0.0599999328055907,3.973174288396994,0.5756693783220046,11.757131780013516,-0.827377045283599,0.7564271815135667,-1.1171975216670866,2.249675771008507,1.1,-0.60725,-0.91773,-0.212307,0.0,1.0,0.0,1.0
6,SPEC25,0.4481,1327,1318,9,2087546.9216444115,371.6186504664496,4174722.2246383564,13.960506017206376,0.060000000000000005,3.998951203415275,0.5548235476152826,11.774269874682615,-0.7982546233619735,0.752880707647721,-1.1303105187252966,2.25,1.1,-0.60725,-0.91773,-0.212307,0.0,1.0,0.0,1.0
7,SPEC30,0.29032,1337,1328,9,12750276.705339447,2249.770537942615,25498303.64014095,13.703121275818415,0.05232885149594752,1.2225789644031992,0.5968685555009523,11.888035579511582,-0.7621071740794353,0.7860477137974134,-1.1355218042678772,2.2106338698115455,1.1,-0.6054317477433345,-0.9248757473158956,-0.12690698246334248,0.08551809116977728,1.1459194256894785,-0.026832014830858668,1.0
8,SPEC31,0.63267,1169,1160,9,166411.7240332062,1020.507813764159,331802.94025264826,14.0,0.060000000000000005,3.702291802076878,1.5,12.25,-0.75,0.75,-0.75,1.8085084264772244,1.1,-0.60725,-0.91773,-0.212307,0.7380459643391036,2.951752801036005,-0.35,1.0
9,SPEC32,0.45335,1271,1263,8,17864.962761335806,40.98120723508883,35688.94431543652,12.082858750111043,0.060000000000000005,4.0,1.5,12.00380012405768,-0.9883189093345135,1.25,-1.25,2.25,1.1,-0.60725,-0.91773,-0.212307,0.0,1.0,0.0,1.0
